total,n_low,n_med,n_high,p_low,p_med,p_high,k_low,k_med,k_high,ph_acidic,ph_neutal,ph_alkaline,oc_low,oc_med,oc_high,ec_low,ec_med,ec_high,S_deficient,S_sufficient,zn_deficient,zn_sufficient,fe_deficient,fe_sufficient,cu_deficient,cu_sufficient,mn_deficient,mn_sufficient,b_deficient,b_sufficient,district_id,district_name
46160,46160,0,0,1804,35979,8377,1742,43995,0,0,46160,0,35626,0,0,46140,0,0,27087,19073,39446,6714,815,45345,37182,8978,5425,40735,45212,948,610,ariyalur
119068,119068,0,0,30,219,118819,9024,107619,2283,0,118878,0,119068,0,0,105095,13973,0,2869,116199,119068,0,8541,110527,119068,0,4703,114365,119068,0,730,chengalpattu
110493,108511,1974,0,26924,80398,3168,967,10708,98725,0,106900,2363,82050,8459,117,105368,5016,0,36851,73642,98489,12004,18727,91766,78610,31883,31686,78807,69384,41109,569,coimbatore
117821,117821,0,0,0,21088,96733,3031,97714,17026,274,115213,445,112825,0,0,117449,323,0,97363,20458,117601,220,0,117821,88350,29471,0,117821,103966,13855,570,cuddalore
111636,111636,0,0,376,73488,37737,735,90016,20658,0,110283,4,102971,0,0,111616,0,0,60998,50638,111636,0,586,111050,111636,0,1612,110024,65154,46482,571,dharmapuri
189300,177335,11754,0,252,1666,187382,1291,35578,151924,12787,170779,1252,1428,1578,0,170960,17570,645,181013,8287,22589,166711,13591,175709,154774,34526,41802,147498,189284,16,572,dindigul
104714,104589,125,0,18757,80499,4463,5593,52482,46456,3,103496,257,68019,10707,0,103837,494,0,83743,20971,68678,36036,25290,79424,77942,26772,34958,69756,84891,19823,573,erode
90044,90044,0,0,3748,28605,57691,0,54152,35724,20,84932,3353,50140,13606,0,86714,3214,0,52382,37662,88611,1433,5151,84893,89996,48,17141,72903,58684,31360,729,kallakurichi
90876,90876,0,0,0,155,90721,9306,81486,47,1,90340,222,90876,0,0,90556,288,0,4,90872,90519,357,7801,83075,90486,390,6180,84696,90860,16,574,kanchipuram
40078,40078,0,0,81,11148,28834,0,13301,26720,18749,16919,0,30972,0,0,40078,0,0,0,40078,24020,16058,362,39716,28851,11227,0,40078,30067,10011,575,kanniyakumari
95129,95129,0,0,18094,28085,48876,4460,16087,74486,0,92919,1351,40173,32636,0,93773,1265,0,29516,65613,86684,8445,52136,42993,69813,25316,15400,79729,16377,78752,576,karur
153215,153215,0,0,6502,126480,19766,0,111991,41190,0,149149,0,134594,0,0,153215,0,0,509,152706,1027,152188,17,153198,4746,148469,0,153215,17804,135411,577,krishnagiri
99616,97741,1875,0,4869,41252,53483,3474,20791,74535,819,97501,868,41149,35611,0,98294,1267,24,16495,83121,86134,13482,14144,85472,23482,76134,17041,82575,78221,21395,578,madurai
61894,61894,0,0,0,1211,60683,0,48786,11880,0,61320,0,21102,6320,0,61044,756,0,0,61894,60210,1684,0,61894,26219,35675,1478,60416,29766,32128,735,mayiladuthurai
40141,40123,0,0,0,0,40141,0,11758,28377,4,39097,0,20685,5614,0,38641,1326,48,0,40141,30227,9914,0,40141,3997,36144,340,39801,16638,23503,579,nagapattinam
84366,84192,174,0,23498,26250,32804,2303,16273,65613,2730,74169,3526,72289,4916,404,83656,510,11,47911,36455,81139,3227,29211,55155,80820,3546,0,84366,84366,0,580,namakkal
41525,41525,0,0,13822,18534,7408,2302,16103,22959,0,38056,1145,26263,2437,0,41525,0,0,32332,9193,41419,106,28933,12592,41116,409,9114,32411,34437,7088,581,perambalur
150250,149017,1201,32,9739,59994,73320,67574,75670,5618,3732,142166,576,137325,6115,0,150178,71,1,60645,89605,148290,1960,24922,125328,145324,4926,4948,145302,50157,100093,582,pudukottai
96199,96199,0,0,1087,23647,71465,1030,7993,87093,365,91014,3830,86062,156,0,93258,2888,18,7958,88241,96199,0,1580,94619,96199,0,123,96076,96126,73,583,ramanathapuram
104313,104313,0,0,39887,32402,31689,9725,66610,27861,199,102181,1728,48984,23870,223,104246,50,0,59612,44701,70129,34184,54074,50239,69488,34825,58434,45879,63290,41023,731,ranipet
99681,98697,983,0,19407,47086,22642,763,32272,66606,438,97454,227,79088,683,0,99251,261,0,56870,42811,97032,2649,0,99681,86165,13516,40,99641,32092,67589,584,salem
112820,112820,0,0,753,6298,105116,0,53710,58928,4578,97888,4826,110835,0,0,112620,200,0,60151,52669,112820,0,3481,109339,112820,0,2088,110732,83965,28855,585,sivaganga
113462,113312,150,0,7710,36294,68401,5252,33724,74293,5864,104535,118,81319,12591,3882,110449,2513,406,37249,76213,100670,12792,6660,106802,84050,29412,1761,111701,52316,61146,733,tenkasi
144893,144893,0,0,0,11,144399,35088,75161,33894,59,143933,0,67881,45792,0,143616,1103,130,85542,59351,144893,0,1280,143613,56805,88088,30001,114892,23416,121477,586,thanjavur
92656,92633,23,0,7951,36200,48505,138,58552,33963,1031,91129,183,60095,9808,243,91718,823,28,52237,40419,91968,688,18733,73923,68851,23805,25191,67465,33478,59178,588,theni
30968,25486,5225,241,0,4292,26672,8164,12155,10522,20515,7269,0,6392,6377,14785,30717,228,0,14957,16011,16550,14418,10134,20834,14757,16211,8825,22143,20621,10347,587,the nilgiris
150019,150019,0,0,5845,8796,135378,22486,119720,7670,600,146870,297,144630,0,0,149340,511,0,74390,75629,141627,8392,24592,125427,141211,8808,128665,21354,150019,0,589,thiruvallur
98224,98223,1,0,0,476,97729,104,44542,53486,0,84844,8572,74136,7,0,94319,3062,804,11734,86490,94387,3837,3,98221,13910,84314,6703,91521,15683,82541,590,thiruvarur
114650,114609,41,0,52017,17892,44367,2375,35247,76918,1126,98364,11548,74888,0,0,113132,899,214,11,114639,102550,12100,9552,105098,99939,14711,6900,107750,113967,683,591,tiruchirappalli
149705,146038,3667,0,8077,35384,106244,7313,46893,95016,7580,133154,1771,116559,9401,1713,140670,7070,1765,68664,81041,133570,16135,11970,137735,110905,38800,1435,148270,87059,62646,592,tirunelveli
48754,37143,11594,0,26310,19758,2377,1663,31371,15706,0,48320,327,20178,12705,85,48595,157,2,16949,31805,38969,9785,32220,16534,34620,14134,27522,21232,29063,19691,732,tirupathur
129422,129422,0,0,21715,59740,31243,0,303,129117,0,95989,30538,96059,3733,0,129422,0,0,35410,94012,84830,44592,28119,101303,54290,75132,77537,51885,104652,24770,634,tiruppur
200892,196707,3939,0,2423,114831,82910,96,192228,6493,19,200090,9,171383,128,0,200669,0,0,146545,54347,200892,0,35431,165461,190970,9922,200871,21,134583,66309,593,tiruvannamalai
173595,172934,660,0,39471,78077,55853,12521,9959,151112,2778,166734,3337,101264,41807,0,164810,7276,543,37060,136535,146429,27166,88638,84957,114188,59407,18967,154628,102623,70972,594,tuticorin
73258,63586,9616,0,40709,26925,5470,1474,51533,20244,0,70362,2614,67245,2588,77,72768,459,31,23598,49660,49907,23351,43960,29298,46224,27034,42268,30990,41505,31753,595,vellore
149706,149706,0,0,11856,43940,90561,573,131839,17096,0,141728,3917,89438,20444,0,149131,525,0,85129,64577,139816,9890,4699,145007,139857,9849,17860,131846,98984,50722,596,villupuram
128725,127592,1114,0,61649,32919,32969,10129,29478,88874,1318,112371,8020,108174,11712,0,128212,29,0,93772,34953,128725,0,88180,40545,128681,44,20501,108224,100463,28262,597,virudhunagar
